listing_id,title,price,location,state,beds,baths,size_sqft,property_type,url,scraped_at
115063885,taman machang bubok 2 sty house for sale reno,495000,N/A,N/A,N/A,N/A,1200,N/A,https://www.mudah.my/ad/115063885.htm,2026-06-27 07:48:01
114295064,Maritime Suites for Sale,730000,N/A,N/A,N/A,N/A,950,N/A,https://www.mudah.my/ad/114295064.htm,2026-06-27 07:48:01
115064738,Lebuh Victoria Clinic for sales,1500000,N/A,N/A,N/A,N/A,150000,N/A,https://www.mudah.my/ad/115064738.htm,2026-06-27 07:48:01
115065151,Lovely location with AEION Mall in front and LOTUS at the side,468000,N/A,N/A,N/A,N/A,1163,N/A,https://www.mudah.my/ad/115065151.htm,2026-06-27 07:48:01
115064000,Lebuh Victoria For Sales,4000000,N/A,N/A,N/A,N/A,40000,N/A,https://www.mudah.my/ad/115064000.htm,2026-06-27 07:48:01
115065208,Lebuh Pantai hardware shop for sale,200000,N/A,N/A,N/A,N/A,30000,N/A,https://www.mudah.my/ad/115065208.htm,2026-06-27 07:48:01
115063996,328 Lebuh Pantai for sales,2000000,N/A,N/A,N/A,N/A,2000,N/A,https://www.mudah.my/ad/115063996.htm,2026-06-27 07:48:01
113384368,349 Lebuh Pantai for sales,2300000,N/A,N/A,N/A,N/A,23000,N/A,https://www.mudah.my/ad/113384368.htm,2026-06-27 07:48:01
115065126,Cozy and Comfortable Home ,525000,N/A,N/A,N/A,N/A,615,N/A,https://www.mudah.my/ad/115065126.htm,2026-06-27 07:48:01
114886395,New refurbishment Owner sale 2 sty semi detached Batu Ferringhi 3015sf,1080000,N/A,N/A,N/A,N/A,3015,N/A,https://www.mudah.my/ad/114886395.htm,2026-06-27 07:48:01
115099376,Residensi Sentosa Condo For Sale @ Maju Jaya Near Kampung Baru,495000,N/A,N/A,N/A,N/A,1200,N/A,https://www.mudah.my/ad/115099376.htm,2026-06-27 07:48:01
115099237,"Central Garden Apartment, Batu Lanchang, Georgetown, Penang",499000,N/A,N/A,N/A,N/A,800,N/A,https://www.mudah.my/ad/115099237.htm,2026-06-27 07:48:05
115098305,3-storey Terraced House (Garden facing),780000,N/A,N/A,N/A,N/A,2772,N/A,https://www.mudah.my/ad/115098305.htm,2026-06-27 07:48:05
114318196,"1st Gred Free Hold Padi Land,Guar Kepayang",326700,N/A,N/A,N/A,N/A,2.5,N/A,https://www.mudah.my/ad/114318196.htm,2026-06-27 07:48:05
115097777,Taman Rebana Indah Unit for Sale (10 min to IKEA),555000,N/A,N/A,N/A,N/A,1400,N/A,https://www.mudah.my/ad/115097777.htm,2026-06-27 07:48:05
115097543,DPiazza Third Floor Office Unit For Sale,630000,N/A,N/A,N/A,N/A,1044,N/A,https://www.mudah.my/ad/115097543.htm,2026-06-27 07:48:05
115097515,Krystal Point First Floor Corner Office Unit for Sale,1220000,N/A,N/A,N/A,N/A,1945,N/A,https://www.mudah.my/ad/115097515.htm,2026-06-27 07:48:05
115097123,Armenian Street 3 Storey UNESCO Heritage Core Zone,6000000,N/A,N/A,N/A,N/A,2007,N/A,https://www.mudah.my/ad/115097123.htm,2026-06-27 07:48:05
115097044,"Double storey house in Sungai Nibong, behind big field",1290000,N/A,N/A,N/A,N/A,1650,N/A,https://www.mudah.my/ad/115097044.htm,2026-06-27 07:48:05
115094959,Boulevard Condominium for sale,640000,N/A,N/A,N/A,N/A,1195,N/A,https://www.mudah.my/ad/115094959.htm,2026-06-27 07:48:05
115094879,Sri Mekar 2 apartment for sale,330000,N/A,N/A,N/A,N/A,980,N/A,https://www.mudah.my/ad/115094879.htm,2026-06-27 07:48:05
115094059,Bagan Lallang Below market good condition apartment!!!,260000,N/A,N/A,N/A,N/A,856,N/A,https://www.mudah.my/ad/115094059.htm,2026-06-27 07:48:05
115093511,Good condition,360000,N/A,N/A,N/A,N/A,850,N/A,https://www.mudah.my/ad/115093511.htm,2026-06-27 07:48:05
115093455,The Peak Condominium,530000,N/A,N/A,N/A,N/A,1100,N/A,https://www.mudah.my/ad/115093455.htm,2026-06-27 07:48:05
115093409,Rumah Kedai Untuk Dijual (MainRoad) PekanJunjung,235000,N/A,N/A,N/A,N/A,2400,N/A,https://www.mudah.my/ad/115093409.htm,2026-06-27 07:48:05
115093373,Single store terrance house - Simpang empat,380000,N/A,N/A,N/A,N/A,1049,N/A,https://www.mudah.my/ad/115093373.htm,2026-06-27 07:48:05
115093039,Rumah teres setingkat,395000,N/A,N/A,N/A,N/A,1540,N/A,https://www.mudah.my/ad/115093039.htm,2026-06-27 07:48:05
115093031,Apartment For Sale,180000,N/A,N/A,N/A,N/A,600,N/A,https://www.mudah.my/ad/115093031.htm,2026-06-27 07:48:05
115092789,The peak RENO to TWO room,528000,N/A,N/A,N/A,N/A,1000,N/A,https://www.mudah.my/ad/115092789.htm,2026-06-27 07:48:05
115092715,Bungalow Villa Pondok Upeh Penang,1700000,N/A,N/A,N/A,N/A,7500,N/A,https://www.mudah.my/ad/115092715.htm,2026-06-27 07:48:05
115004318,Best Buy Low Entry Price in Sri Wangsa 2,269000,N/A,N/A,N/A,N/A,680,N/A,https://www.mudah.my/ad/115004318.htm,2026-06-27 07:48:05
115058025,Summerskye Residences Condominium for sale,860000,N/A,N/A,N/A,N/A,1100,N/A,https://www.mudah.my/ad/115058025.htm,2026-06-27 07:48:05
115060516,Taman Skyridge Apartment ,530000,N/A,N/A,N/A,N/A,850,N/A,https://www.mudah.my/ad/115060516.htm,2026-06-27 07:48:05
115058168,Rare Corner Unit | 4R | Penang Hill & Kek Lok Si View | Low Density Co,680000,N/A,N/A,N/A,N/A,1250,N/A,https://www.mudah.my/ad/115058168.htm,2026-06-27 07:48:05
115059722,"Seri Nibung Apt, Corner Unit, 2 Carpark, Walking distance MRT Station",328000,N/A,N/A,N/A,N/A,700,N/A,https://www.mudah.my/ad/115059722.htm,2026-06-27 07:48:05
115056997,Symphony Park Jelutong Block A,470000,N/A,N/A,N/A,N/A,700,N/A,https://www.mudah.my/ad/115056997.htm,2026-06-27 07:48:05
115057207,Seruling Emas house for sale ,330000,N/A,N/A,N/A,N/A,1195,N/A,https://www.mudah.my/ad/115057207.htm,2026-06-27 07:48:05
115057088,Farlim Block 2C ,173000,N/A,N/A,N/A,N/A,550,N/A,https://www.mudah.my/ad/115057088.htm,2026-06-27 07:48:05
115057984,3 Storey Terrace Guarded House for sale,1550000,N/A,N/A,N/A,N/A,1403,N/A,https://www.mudah.my/ad/115057984.htm,2026-06-27 07:48:05
114830347,The Park @ Mak Mandin Butterworth for SOLD,360000,N/A,N/A,N/A,N/A,1000,N/A,https://www.mudah.my/ad/114830347.htm,2026-06-27 07:48:05
115058074,3-Storey Semi-Detached Home for Sale – Bayan Lepas,1288000,N/A,N/A,N/A,N/A,2940,N/A,https://www.mudah.my/ad/115058074.htm,2026-06-27 07:48:05
115056935,"RARE CORNER UNIT FOR SALE – BM Residence Condo, Bukit Mertajam ",510000,N/A,N/A,N/A,N/A,1420,N/A,https://www.mudah.my/ad/115056935.htm,2026-06-27 07:48:05
115058210,Taman Bukit Dumbar Duplex 2,680000,N/A,N/A,N/A,N/A,1938,N/A,https://www.mudah.my/ad/115058210.htm,2026-06-27 07:48:05
